c FILE			: graphs/g_1000_43.txt
a 219 134 90
a 963 85 91
a 633 276 90
a 57 805 93
a 415 430 94
a 585 241 99
a 204 189 92
a 266 1 98
a 598 813 99
a 504 619 92
a 892 648 90
a 484 380 92
a 762 512 96
a 636 127 94
a 203 101 92
a 57 19 99
a 859 828 94
a 851 609 98
a 644 17 96
a 241 203 95
a 42 36 92
a 347 363 94
a 862 918 98
a 711 213 92
a 4 766 93
a 383 453 94
a 141 158 98
a 35 89 92
a 110 324 95
a 377 262 93
a 627 636 91
a 783 782 94
a 820 324 90
a 957 839 99
a 195 289 92
a 64 446 97
a 213 612 94
a 759 571 98
a 141 26 94
a 64 11 90
a 94 219 93
a 476 539 95
a 104 571 92
a 214 98 99
a 407 695 94
a 35 42 94
a 535 35 93
a 86 226 99
a 816 976 90
a 785 729 90
a 219 86 93
a 307 277 96
a 523 939 98
a 536 926 92
a 673 915 93
a 550 570 99
a 39 665 98
a 363 418 91
a 782 63 99
a 33 298 97
a 126 445 96
a 570 602 93
a 407 196 94
a 226 168 97
a 82 127 93
a 204 66 99
a 879 938 99
a 331 766 95
a 304 547 99
a 636 192 94
a 258 384 93
a 161 158 99
a 523 641 98
a 410 479 91
a 504 563 99
a 214 211 99
a 634 945 93
a 792 960 94
a 252 5 91
a 323 4 97
a 410 160 93
a 129 35 91
a 142 127 94
a 629 754 98
a 535 532 99
a 219 157 91
a 689 105 90
a 88 612 93
a 95 97 95
a 219 203 94
a 94 35 96
a 252 1 97
a 204 210 97
a 58 51 91
a 16 66 93
a 345 157 99
a 320 813 93
a 820 657 95
a 168 51 91
a 476 102 98
a 540 636 90
a 78 64 94
a 417 722 90
a 329 51 93
a 386 907 91
a 682 679 94
a 501 517 96
a 16 1 99
a 145 644 90
a 751 2 95
a 516 526 96
a 594 726 95
a 376 4 98
a 134 40 98
a 66 277 90
a 616 351 90
a 586 57 93
a 563 74 97
a 1 136 95
a 801 917 99
a 2 129 97
a 4 74 98
a 761 535 91
a 438 630 92
a 627 911 99
a 16 516 93
a 255 35 93
a 78 16 99
a 418 73 99
a 26 286 97
a 613 363 92
a 660 136 93
a 329 94 99
a 573 597 90
a 203 175 94
a 408 907 90
a 985 563 91
a 658 917 99
a 282 300 98
a 838 862 90
a 751 766 95
a 582 505 97
a 469 908 91
a 679 126 97
a 64 751 93
a 519 141 94
a 11 4 97
a 446 383 99
a 519 754 91
a 658 723 94
a 945 898 96
a 891 894 94
a 884 277 95
a 50 94 95
a 320 23 92
a 595 860 91
a 386 379 94
a 601 188 96
a 42 761 91
a 175 214 98
a 923 255 96
a 274 9 92
a 17 151 96
a 198 167 99
a 141 648 99
a 532 539 92
a 269 23 93
a 113 595 95
a 335 329 97
a 844 9 99
a 64 17 99
a 137 509 99
a 629 4 90
a 769 505 93
a 380 391 95
a 379 422 93
a 751 8 98
a 441 464 94
a 149 649 97
a 547 274 98
a 523 24 97
a 758 887 98
a 891 422 95
a 588 776 99
a 51 504 90
a 790 852 97
a 616 85 90
a 314 81 92
a 101 516 94
a 532 380 93
a 792 601 96
a 657 547 92
a 581 595 96
a 352 105 99
a 102 220 98
a 110 33 96
a 977 869 92
a 234 285 96
a 953 847 97
a 441 505 99
a 35 4 97
a 938 883 92
a 192 127 95
a 161 629 95
a 276 495 94
a 70 8 93
a 16 81 94
a 293 289 91
a 941 206 94
a 259 314 90
a 5 633 96
a 752 755 99
a 136 151 95
a 789 320 99
a 448 573 95
a 199 726 99
a 820 258 90
a 226 425 92
a 189 698 91
a 12 432 92
a 2 19 94
a 847 800 97
a 66 439 94
a 642 953 96
a 36 516 97
a 829 392 98
a 616 204 96
a 612 838 94
a 956 894 92
a 255 316 97
a 987 970 94
a 729 823 96
a 5 524 93
a 883 696 92
a 491 855 91
a 367 852 96
a 713 479 99
a 126 189 93
a 145 411 95
a 43 35 96
a 85 27 98
a 414 448 94
a 160 508 92
a 94 223 93
a 130 448 96
a 665 877 95
a 626 675 97
a 524 23 96
a 105 182 92
a 394 894 92
a 261 129 91
a 891 945 95
a 270 848 92
a 535 105 90
a 751 516 92
a 5 79 96
a 237 145 90
a 516 207 95
a 195 160 98
a 616 86 90
a 502 2 99
a 329 391 98
a 828 831 97
a 509 8 91
a 1 564 97
a 407 720 99
a 839 344 97
a 66 88 95
a 148 991 90
a 195 245 94
a 609 859 96
a 110 81 96
a 644 16 93
a 777 262 99
a 532 505 94
a 564 64 95
a 542 597 91
a 675 26 94
a 40 164 90
a 23 24 99
a 355 449 97
a 758 754 95
a 70 1 91
a 408 719 96
a 626 652 98
a 58 158 97
a 354 292 94
a 70 210 95
a 42 914 99
a 766 422 95
a 261 511 93
a 831 4 92
a 501 844 92
a 2 9 90
a 945 976 97
a 908 828 97
a 195 198 93
a 395 332 99
a 269 331 91
a 886 292 91
a 227 43 98
a 23 773 91
a 509 630 92
a 401 26 91
a 808 176 91
a 70 94 90
a 673 557 94
a 258 290 95
a 377 316 94
a 16 35 90
a 297 359 90
a 767 377 91
a 609 1 93
a 504 695 96
a 219 453 94
a 672 203 93
a 456 526 98
a 616 54 94
a 78 79 96
a 954 555 98
a 786 805 97
a 16 126 99
a 505 127 94
a 63 78 96
a 313 40 94
a 211 78 91
a 261 129 92
a 578 145 93
a 594 43 91
a 469 442 98
a 252 259 97
a 469 473 92
a 2 321 95
a 422 157 95
a 82 332 95
a 636 792 90
a 433 24 94
a 32 251 92
a 17 16 93
a 11 1 99
a 783 785 90
a 35 285 94
a 801 48 90
a 126 196 96
a 832 831 95
a 523 766 97
a 504 536 95
a 158 63 96
a 112 547 97
a 636 5 94
a 348 161 95
a 658 907 96
a 366 316 94
a 776 566 90
a 86 74 98
a 399 773 90
a 917 32 93
a 595 32 94
a 47 172 93
a 70 988 97
a 4 23 92
a 689 877 95
a 1 73 91
a 149 392 91
a 391 574 94
a 869 914 98
a 266 652 91
a 383 254 92
a 754 251 94
a 383 133 97
a 141 266 95
a 63 501 98
a 129 730 93
a 32 126 93
a 63 519 96
a 313 9 92
a 415 283 96
a 754 254 95
a 570 261 94
a 532 300 93
a 504 630 90
a 1 377 91
a 119 19 92
a 563 95 93
a 485 71 92
a 305 48 90
a 629 657 99
a 985 658 92
a 438 491 91
a 133 32 97
a 323 354 90
a 198 273 96
a 994 886 90
a 511 152 99
a 86 175 96
a 255 273 96
a 759 945 90
a 238 369 97
a 289 292 91
a 283 300 91
a 79 203 98
a 754 540 90
a 377 133 97
a 267 423 93
a 759 758 93
a 832 581 99
a 502 501 94
a 704 711 97
a 813 472 96
a 206 222 95
a 9 461 96
a 24 301 90
a 946 320 97
a 32 536 93
a 501 891 98
a 519 126 92
a 196 195 97
a 141 550 99
a 532 604 99
a 183 741 92
a 189 470 94
a 16 269 91
a 555 722 93
a 241 119 95
a 540 805 98
a 344 347 95
a 658 665 93
a 252 328 93
a 289 352 91
a 384 137 93
a 855 354 94
a 604 445 98
a 991 976 94
a 523 571 97
a 4 762 95
a 578 585 90
a 699 973 97
a 314 266 92
a 19 5 98
a 472 157 98
a 557 629 96
a 469 407 91
a 134 387 98
a 33 17 92
a 57 120 95
a 255 313 96
a 282 783 94
a 484 532 95
a 63 710 90
a 251 907 95
a 54 51 90
a 347 73 95
a 16 78 96
a 9 258 98
a 301 323 92
a 9 814 92
a 189 258 96
a 773 899 99
a 320 377 91
a 644 81 98
a 963 383 90
a 394 922 97
a 752 564 90
a 130 157 93
a 737 642 92
a 380 379 94
a 137 637 98
a 769 360 99
a 335 304 91
a 823 960 99
a 85 589 98
a 230 214 90
a 51 161 92
a 305 149 91
a 12 11 97
a 520 571 98
a 453 835 94
a 126 151 97
a 429 391 95
a 314 283 95
a 626 129 90
a 203 438 94
a 547 710 96
a 347 344 99
a 626 398 99
a 78 172 96
a 317 314 99
a 47 657 97
a 8 79 98
a 869 289 91
a 713 808 91
a 581 417 97
a 305 930 91
a 445 85 92
a 884 977 99
a 254 262 91
a 939 816 97
a 508 601 93
a 88 714 96
a 136 26 94
a 832 286 98
a 751 261 98
a 438 501 92
a 392 386 98
a 394 449 97
a 501 688 98
a 948 418 95
a 898 758 97
a 901 198 95
a 26 158 97
a 227 445 93
a 408 984 91
a 797 516 95
a 141 16 93
a 71 133 94
a 134 237 92
a 407 297 96
a 696 695 92
a 301 988 96
a 835 751 95
a 258 73 95
a 286 785 97
a 336 101 98
a 362 120 98
a 751 563 97
a 557 797 95
a 300 862 94
a 657 660 91
a 19 519 99
a 767 33 92
a 320 352 97
a 110 16 91
a 547 523 98
a 82 79 99
a 266 394 97
a 567 219 91
a 901 667 92
a 930 658 95
a 254 129 98
a 347 948 90
a 97 453 99
a 67 258 97
a 335 339 93
a 23 54 98
a 360 321 98
a 469 104 97
a 939 379 95
a 142 642 93
a 24 141 95
a 251 511 90
a 16 766 99
a 532 907 95
a 633 376 95
a 32 604 98
a 134 9 94
a 502 634 90
a 908 969 93
a 582 570 98
a 407 289 95
a 127 134 95
a 47 141 95
a 2 12 97
a 16 1 90
a 160 11 94
a 188 698 95
a 50 54 94
a 730 423 98
a 126 251 96
a 585 277 90
a 554 57 90
a 267 160 92
a 994 366 90
a 377 752 98
a 211 710 97
a 517 2 99
a 219 366 97
a 884 167 93
a 945 976 92
a 917 925 93
a 586 207 93
a 48 40 95
a 588 619 91
a 648 987 95
a 445 547 90
a 237 612 91
a 972 722 90
a 533 566 93
a 16 547 95
a 251 754 96
a 105 120 93
a 9 26 90
a 504 316 90
a 266 144 96
a 752 262 91
a 259 8 93
a 126 657 95
a 449 567 96
a 713 558 97
a 682 800 91
a 770 532 97
a 377 469 97
a 598 729 96
a 66 204 93
a 79 464 94
a 376 19 94
a 54 554 94
a 73 449 90
a 598 509 90
a 141 16 92
a 692 207 96
a 776 558 95
a 869 800 94
a 164 195 97
a 2 536 95
a 380 129 95
a 533 376 96
a 800 798 94
a 11 4 92
a 79 17 90
a 289 891 91
a 176 109 94
a 797 877 93
a 300 418 93
a 8 5 96
a 17 57 96
a 683 786 95
a 42 12 92
a 571 516 96
a 344 39 93
a 255 1 96
a 379 894 92
a 407 441 93
a 20 26 97
a 66 1 91
a 1 141 93
a 282 94 94
a 112 110 91
a 426 36 90
a 547 50 93
a 504 754 92
a 877 173 96
a 777 963 96
a 64 508 96
a 758 16 92
a 505 512 95
a 735 722 99
a 20 39 98
a 79 535 92
a 542 602 94
a 777 838 93
a 328 297 92
a 189 448 98
a 63 501 99
a 32 627 97
a 266 835 91
a 453 1 99
a 116 235 99
a 286 348 92
a 252 439 94
a 994 862 99
a 578 617 91
a 439 508 97
a 754 941 96
a 442 446 90
a 892 252 98
a 516 641 97
a 696 485 91
a 19 237 99
a 5 394 97
a 210 66 94
a 813 442 99
a 752 441 93
a 582 78 98
a 535 594 91
a 535 942 94
a 64 320 99
a 782 798 95
a 314 527 96
a 626 71 97
a 94 4 91
a 141 394 94
a 798 767 99
a 604 4 90
a 612 661 96
a 626 2 92
a 258 344 99
a 23 40 93
a 720 105 97
a 910 141 92
a 117 102 96
a 126 133 91
a 526 571 93
a 20 51 90
a 957 933 98
a 66 73 95
a 297 797 96
a 807 891 90
a 477 439 96
a 422 290 92
a 504 554 99
a 321 355 91
a 157 126 99
a 664 636 99
a 71 566 98
a 509 359 99
a 133 379 93
a 207 192 92
a 144 402 96
a 300 254 93
a 320 8 99
a 793 915 92
a 891 439 99
a 11 8 90
a 4 142 93
a 754 535 97
a 273 770 94
a 24 578 90
a 929 972 91
a 173 894 97
a 755 573 95
a 144 160 99
a 402 807 97
a 54 26 98
a 328 269 92
a 116 55 94
a 188 698 93
a 594 597 95
a 79 703 95
a 688 719 96
a 57 664 96
a 227 352 93
a 35 501 98
a 817 836 95
a 501 1 98
a 673 752 96
a 266 838 98
a 102 377 94
a 273 148 99
a 4 782 95
a 445 438 99
a 189 67 98
a 770 502 94
a 880 411 97
a 366 547 92
a 97 234 96
a 267 270 98
a 142 5 91
a 633 133 93
a 879 800 94
a 542 573 98
a 175 422 98
a 8 134 95
a 89 369 91
a 183 35 96
a 316 297 99
a 535 35 97
a 417 414 98
a 219 230 93
a 526 2 98
a 313 48 97
a 752 767 94
a 578 589 96
a 539 672 92
a 196 158 97
a 64 58 98
a 429 484 91
a 203 241 95
a 129 636 98
a 969 258 99
a 42 581 98
a 439 1 99
a 1 63 94
a 104 142 95
a 86 714 94
a 938 985 95
a 195 127 92
a 16 20 95
a 813 1 96
a 167 362 97
a 831 282 94
a 324 24 98
a 442 477 93
a 198 199 93
a 71 137 97
a 698 19 94
a 137 126 91
a 751 895 92
a 40 637 97
a 539 883 94
a 42 661 93
a 74 536 91
a 609 536 95
a 24 648 93
a 676 658 94
a 94 313 99
a 20 630 97
a 254 761 96
a 664 2 93
a 761 785 96
a 133 136 98
a 4 394 95
a 594 907 98
a 535 867 90
a 47 17 92
a 620 610 98
a 863 110 94
a 539 71 90
a 508 564 96
a 36 352 95
a 47 251 92
a 164 54 92
a 1 4 95
a 86 338 91
a 151 479 92
a 32 136 90
a 491 460 92
a 17 58 92
a 40 5 90
a 133 8 93
a 773 808 90
a 196 8 95
a 242 71 91
a 582 81 95
a 645 407 96
a 776 183 95
a 351 8 99
a 259 759 99
a 682 619 90
a 384 407 94
a 938 813 91
a 313 66 94
a 789 511 90
a 844 313 93
a 43 39 92
a 814 835 97
a 24 203 96
a 73 71 91
a 276 42 92
a 266 273 92
a 266 313 90
a 110 78 98
a 297 804 93
a 783 2 90
a 283 251 90
a 32 786 97
a 188 189 94
a 255 542 96
a 252 321 95
a 9 884 92
a 71 445 99
a 648 911 94
a 578 804 99
a 597 595 94
a 505 627 91
a 229 167 92
a 564 714 93
a 142 55 91
a 722 566 90
a 222 675 91
a 548 555 93
a 438 828 98
a 79 141 96
a 63 17 94
a 386 211 98
a 816 817 92
a 48 821 95
a 344 251 91
a 317 71 90
a 695 689 95
a 127 183 99
a 766 933 97
a 314 352 91
a 851 360 91
a 689 134 92
a 66 1 97
a 752 835 99
a 292 323 93
a 501 703 97
a 94 32 96
a 570 64 98
a 829 453 97
a 129 511 91
a 101 273 98
a 206 566 99
a 347 829 97
a 127 641 98
a 226 237 94
a 477 464 94
a 516 26 95
a 691 573 94
a 189 63 93
a 313 195 96
a 251 226 91
a 679 407 93
a 23 24 91
a 626 535 98
a 277 266 94
a 407 446 91
a 9 759 99
a 32 533 91
a 11 43 95
a 241 571 93
a 313 548 97
a 9 40 98
a 929 648 94
a 547 548 94
a 149 210 98
a 501 57 96
a 392 79 96
a 71 509 93
a 258 754 98
a 954 407 93
a 914 664 95
a 134 133 95
a 797 344 95
a 351 101 98
a 657 551 91
a 415 11 96
a 113 98 94
a 604 526 98
a 222 223 97
a 48 767 92
a 133 8 93
a 142 82 90
a 8 101 90
a 39 273 90
a 9 305 96
a 564 1 91
a 9 259 97
a 70 134 98
a 446 630 97
a 9 40 91
a 195 71 95
a 109 63 92
a 859 485 98
a 711 527 99
a 51 176 96
a 270 269 92
a 351 355 99
a 300 645 99
a 1 282 90
a 752 783 96
a 285 97 90
a 145 407 93
a 78 316 99
a 564 78 99
a 101 762 90
a 8 273 90
a 501 539 90
a 613 17 96
a 4 66 92
a 1 8 90
a 11 758 95
a 754 752 97
a 516 63 98
a 573 501 94
a 151 636 94
a 540 539 98
a 844 929 96
a 8 26 90
a 526 540 97
a 251 688 90
a 523 158 99
a 407 286 98
a 133 508 92
a 164 383 98
a 744 949 96
a 722 566 91
a 164 167 92
a 535 542 97
a 133 380 99
a 505 509 90
a 54 550 96
a 222 97 95
a 300 307 97
a 219 595 98
a 595 582 90
a 173 658 96
a 317 67 93
a 425 267 94
a 144 536 92
a 629 626 90
a 274 460 98
a 40 594 94
a 97 610 98
a 866 758 92
a 1 36 94
a 324 192 93
a 188 578 93
a 345 324 93
a 160 636 97
a 198 4 98
a 23 620 91
a 70 23 95
a 245 204 95
a 501 570 91
a 509 698 96
a 783 751 90
a 2 790 99
a 767 945 95
a 336 805 93
a 301 66 94
a 703 213 97
a 508 70 92
a 564 574 92
a 157 226 92
a 908 160 96
a 792 604 90
a 2 313 95
a 47 116 98
a 113 71 91
a 776 542 91
a 509 386 91
a 167 657 94
a 367 70 95
a 801 51 95
a 509 696 95
a 11 8 97
a 719 627 96
a 722 238 95
a 469 9 92
a 766 47 94
a 241 430 95
a 899 439 95
a 152 392 97
a 259 55 93
a 276 285 97
a 758 886 93
a 94 438 98
a 517 516 96
a 141 160 94
a 547 172 90
a 821 102 94
a 922 254 94
a 126 657 90
a 305 805 91
a 339 441 97
a 547 297 90
a 505 504 95
a 807 792 94
a 269 276 98
a 5 129 97
a 380 50 97
a 595 101 97
a 79 377 98
a 720 680 94
a 234 453 95
a 23 570 92
a 113 112 96
a 472 448 93
a 27 245 96
a 759 274 97
a 63 85 95
a 502 270 98
a 595 517 93
a 445 961 96
a 254 754 97
a 402 88 97
a 2 109 94
a 460 359 92
a 43 862 91
a 43 74 99
a 120 58 92
a 227 43 93
a 266 879 98
a 633 629 94
a 222 234 95
a 172 304 96
a 380 274 91
a 277 8 97
a 543 598 92
a 160 133 96
a 533 94 97
a 563 567 94
a 2 94 90
a 50 175 93
a 408 290 95
a 63 94 91
a 679 866 92
a 95 429 96
a 351 195 90
a 563 535 91
a 769 676 90
a 953 594 98
a 504 254 93
a 579 101 91
a 219 445 93
a 88 5 97
a 180 195 99
a 11 527 94
a 547 33 91
a 710 651 95
a 259 2 98
a 848 969 99
a 9 259 98
a 161 360 94
a 36 35 97
a 129 891 99
a 97 222 99
a 401 922 95
a 945 441 99
a 74 73 91
a 251 5 97
a 813 563 90
a 648 8 97
a 259 266 94
a 776 636 91
a 657 551 90
a 79 17 91
a 917 782 91
a 251 63 94
a 657 142 92
a 16 23 95
a 314 399 91
a 102 508 93
a 24 151 98
a 777 270 92
a 426 277 98
a 502 145 90
a 823 4 95
a 508 567 96
a 876 877 91
a 133 258 97
a 410 285 90
a 345 892 90
a 813 820 94
a 769 50 90
a 158 110 99
a 110 43 98
a 97 536 91
a 161 676 99
a 823 667 95
a 63 64 93
a 414 195 91
a 54 786 91
a 323 570 90
a 40 179 95
a 908 283 92
a 167 161 98
a 16 751 98
a 585 210 93
a 566 604 91
a 930 555 97
a 117 86 99
a 66 105 90
a 78 588 99
a 26 524 93
a 979 19 93
a 688 207 92
a 866 698 93
a 274 754 99
a 942 199 96
a 213 105 93
a 939 64 99
a 23 679 90
a 144 626 94
a 323 948 94
a 719 502 92
a 626 376 99
a 386 383 92
a 127 32 92
a 664 335 97
a 285 33 98
a 594 222 98
a 488 301 91
a 204 331 98
a 679 141 94
a 321 929 96
a 120 57 98
a 399 939 98
a 23 273 99
a 672 922 98
a 667 726 96
a 133 71 91
a 626 641 92
a 158 730 98
a 223 954 98
a 445 321 92
a 126 714 94
a 145 130 97
a 727 554 98
a 269 453 99
a 675 173 98
a 880 595 92
a 11 42 97
a 229 39 94
a 286 292 91
a 648 16 94
a 266 109 94
a 210 571 90
a 94 105 93
a 266 314 94
a 173 675 90
a 636 157 92
a 144 165 92
a 898 300 95
a 338 831 90
a 259 313 97
a 192 168 92
a 945 720 91
a 4 355 95
a 63 203 99
a 314 383 92
a 254 438 90
a 461 79 94
a 261 63 95
a 206 129 95
a 329 266 99
a 11 129 95
a 633 891 91
a 395 386 99
a 567 589 97
a 297 367 96
a 102 329 92
a 548 543 95
a 23 526 93
a 438 782 97
a 582 241 90
a 517 752 99
a 508 539 98
a 314 317 98
a 351 282 98
a 570 564 90
a 752 79 95
a 17 252 92
a 290 33 93
a 35 144 92
a 11 12 90
a 533 782 94
a 133 652 98
a 300 351 91
a 1 504 94
a 555 602 95
a 254 251 90
a 4 5 99
a 954 695 97
a 411 12 90
a 130 630 97
a 329 266 93
a 4 127 97
a 266 70 99
a 42 407 96
a 675 1 99
a 359 369 93
a 519 582 99
a 39 85 93
a 376 282 98
a 95 85 98
a 578 234 95
a 783 407 93
a 379 323 95
a 414 320 96
a 74 165 92
a 82 64 99
a 813 751 96
a 157 164 90
a 24 433 97
a 204 207 91
a 259 539 90
a 24 179 91
a 463 454 93
a 109 616 90
a 116 32 98
a 692 880 99
a 126 391 91
a 252 266 99
a 762 196 92
a 274 398 90
a 376 963 94
a 571 574 94
a 12 11 97
a 660 636 93
a 70 251 98
a 274 504 98
a 899 266 96
a 734 134 92
a 517 527 98
a 152 710 95
a 165 392 91
a 847 344 98
a 142 141 97
a 660 274 98
a 251 790 98
a 26 516 95
a 438 109 98
a 706 81 97
a 384 641 91
a 880 407 92
a 4 293 91
a 2 254 95
a 2 63 97
a 241 601 95
a 188 844 93
a 533 9 94
a 501 585 92
a 832 835 96
a 16 167 99
a 563 777 92
a 305 543 90
a 970 699 98
a 19 460 97
a 188 102 94
a 504 66 91
a 17 2 94
a 519 355 98
a 89 191 92
a 519 439 91
a 88 331 96
a 26 20 95
a 17 363 90
a 167 523 96
a 399 430 94
a 392 377 96
a 81 898 94
a 251 616 96
a 751 251 93
a 539 40 92
a 33 55 90
a 5 4 97
a 109 179 92
a 129 203 95
a 377 782 96
a 441 167 97
a 39 40 91
a 954 845 90
a 314 191 96
a 505 524 94
a 168 433 90
a 391 141 99
a 362 737 97
a 328 269 93
a 689 649 92
a 116 305 92
a 476 134 92
a 798 547 93
a 410 160 92
a 292 11 92
a 502 24 93
a 792 789 96
a 40 627 93
a 126 134 90
a 808 917 94
a 351 789 92
a 539 536 90
a 501 847 93
a 883 9 96
a 972 910 92
a 39 289 99
a 532 789 91
a 769 112 93
a 417 379 93
a 23 149 90
a 595 939 92
a 704 954 90
a 660 136 95
a 457 800 93
a 252 883 99
a 78 307 93
a 979 165 96
a 627 418 97
a 35 112 92
a 566 67 98
a 160 535 98
a 891 641 92
a 391 252 92
a 579 48 98
a 141 484 95
a 363 860 91
a 101 48 99
a 219 657 91
a 145 380 94
a 581 126 97
a 633 1 95
a 313 71 93
a 383 422 97
a 504 505 95
a 610 524 93
a 244 98 92
a 117 252 95
a 547 755 90
a 891 399 97
a 504 636 91
a 754 290 94
a 109 300 97
a 11 391 99
a 251 40 99
a 148 16 91
a 408 433 94
a 563 688 90
a 219 63 91
a 609 85 90
a 567 505 90
a 78 66 96
a 894 820 95
a 133 151 91
a 360 548 97
a 586 714 95
a 519 505 96
a 16 1 95
a 74 386 92
a 505 533 93
a 597 348 99
a 285 307 93
a 824 839 98
a 675 957 99
a 316 182 99
a 2 48 91
a 828 344 96
a 710 703 99
a 616 523 99
a 554 540 90
a 313 564 97
a 751 292 92
a 727 884 91
a 415 157 92
a 183 176 97
a 502 255 98
a 39 129 98
a 35 19 92
a 658 673 93
a 133 261 92
a 770 48 96
a 1 35 93
a 102 548 94
a 55 258 91
a 688 713 92
a 161 145 92
a 642 244 93
a 254 282 95
a 386 136 90
a 923 51 95
a 293 262 98
a 814 817 98
a 133 629 99
a 782 785 96
a 876 134 93
a 211 151 96
a 157 235 98
a 145 380 96
a 211 89 98
a 95 141 93
a 157 460 91
a 509 855 97
a 66 36 96
a 745 206 98
a 876 910 94
a 512 509 90
a 789 9 99
a 487 144 98
a 854 886 98
a 860 297 98
a 759 214 95
a 23 797 97
a 729 4 93
a 157 12 99
a 884 453 95
a 79 457 91
a 604 109 93
a 351 32 93
a 136 20 93
a 844 984 98
a 32 35 94
a 11 16 95
a 516 508 90
a 19 67 98
a 644 651 99
a 50 85 92
a 699 564 97
a 11 540 96
a 581 777 96
a 164 136 91
a 262 817 95
a 290 824 94
a 255 48 94
a 398 127 99
a 543 40 98
a 43 5 90
a 672 680 96
a 74 64 94
a 362 254 98
a 188 344 96
a 203 204 91
a 392 71 96
a 20 395 92
a 277 16 99
a 563 566 99
a 547 47 98
a 366 367 92
a 88 192 99
a 848 345 93
a 524 86 92
a 191 210 91
a 383 790 97
a 35 158 91
a 923 892 97
a 384 392 94
a 355 1 93
a 883 852 98
a 81 411 92
a 105 196 91
a 883 876 95
a 886 948 94
a 102 160 90
a 79 439 92
a 110 102 92
a 88 804 99
a 386 304 96
a 120 117 92
a 292 119 94
a 570 698 90
a 821 9 90
a 1 47 90
a 188 127 96
a 191 112 98
a 198 161 98
a 782 813 90
a 267 48 97
a 8 40 93
a 564 17 91
a 422 79 94
a 321 289 90
a 366 292 91
a 511 751 91
a 362 81 92
a 157 407 99
a 516 484 95
a 644 737 93
a 101 32 96
a 399 964 91
a 266 398 99
a 196 627 94
a 266 398 92
a 722 126 99
a 540 508 95
a 126 66 91
a 16 63 90
a 324 254 99
a 699 399 97
a 2 536 91
a 734 695 94
a 391 266 98
a 26 328 96
a 813 969 98
a 415 133 90
a 501 252 94
a 688 691 95
a 313 813 98
a 251 63 94
a 407 907 96
a 563 463 94
a 648 649 92
a 199 74 90
a 926 17 99
a 915 168 95
a 667 542 96
a 573 814 93
a 814 117 97
a 585 101 97
a 519 335 92
a 564 558 97
a 976 714 90
a 230 102 93
a 641 4 90
a 823 479 91
