c FILE			: graphs/g_100_27.txt
a 5 91 98
a 7 4 97
a 76 26 99
a 30 2 97
a 14 27 93
a 1 7 92
a 13 72 93
a 26 45 93
a 26 1 95
a 7 52 91
a 4 26 95
a 51 8 90
a 41 29 91
a 72 16 90
a 57 26 93
a 57 79 95
a 26 41 96
a 51 63 93
a 26 42 90
a 1 2 90
a 11 2 96
a 82 26 91
a 76 52 93
a 48 7 95
a 16 51 96
a 45 39 97
a 63 66 91
a 36 8 97
a 89 27 97
a 44 48 96
a 2 1 93
a 7 26 94
a 32 35 94
a 77 79 94
a 60 19 90
a 98 88 90
a 82 77 92
a 10 23 96
a 8 17 95
a 16 54 94
a 5 19 97
a 76 94 95
a 64 54 95
a 92 97 96
a 57 82 94
a 29 30 92
a 1 38 90
a 64 63 91
a 10 7 94
a 4 36 93
a 38 13 93
a 13 51 96
a 27 42 96
a 8 7 95
a 83 58 92
a 44 32 96
a 2 1 93
a 16 73 96
a 51 79 92
a 20 22 93
a 26 30 97
a 8 70 91
a 2 30 93
a 73 16 94
a 58 57 91
a 4 54 90
a 7 48 93
a 13 1 92
a 52 13 96
a 27 2 96
a 58 57 96
a 14 55 92
a 7 32 95
a 26 85 99
a 17 73 98
a 89 61 92
a 52 77 94
a 2 27 93
a 7 33 92
a 45 79 98
a 23 11 99
a 57 86 97
a 33 45 91
a 8 33 99
a 27 33 99
a 26 33 92
a 16 4 94
a 83 32 99
a 38 13 91
a 72 91 97
a 86 85 96
a 60 44 90
a 86 60 98
a 94 82 97
a 52 57 91
a 51 72 99
a 4 11 97
a 8 61 94
a 61 80 99
a 32 27 93
a 13 1 98
a 16 5 91
a 47 16 94
a 32 8 99
a 47 4 95
a 47 41 96
a 8 11 97
a 4 2 91
a 47 98 94
a 26 32 99
a 41 10 90
a 26 27 96
a 48 54 92
a 1 8 99
a 57 51 93
a 26 91 97
a 44 42 92
a 35 7 96
a 26 76 91
a 13 63 93
a 1 26 90
a 66 54 98
a 42 60 95
a 1 82 96
a 63 17 90
a 52 7 96
a 77 89 92
a 54 67 99
a 57 1 91
a 64 8 99
a 36 30 99
a 72 7 98
a 39 92 99
a 35 7 93
a 2 52 92
a 13 16 96
a 45 8 93
a 91 13 99
a 39 33 92
a 77 36 99
a 29 16 90
a 69 44 93
a 82 95 97
a 76 57 94
a 69 73 90
a 22 20 91
a 88 89 97
a 42 30 95
a 30 14 99
a 11 10 97
a 52 57 98
a 42 72 92
a 63 69 94
a 13 14 93
a 5 80 95
a 44 13 95
a 32 29 96
a 20 14 96
a 1 4 93
a 20 44 98
a 55 70 95
a 4 54 98
a 79 76 96
a 63 39 98
a 1 52 94
a 63 38 99
a 55 52 95
a 5 66 99
a 1 8 98
a 60 72 94
a 86 29 97
a 83 60 92
a 72 48 96
a 58 41 98
a 29 83 91
a 44 8 93
a 8 83 94
a 36 97 98
a 52 54 98
a 51 60 95
a 51 8 91
a 72 73 96
a 13 2 99
a 85 79 97
a 67 30 98
a 76 26 93
a 2 85 98
a 51 1 97
a 39 38 94
a 42 55 96
a 16 61 92
a 51 69 97
a 5 11 98
a 60 86 91
a 89 76 95
a 58 55 98
a 22 60 99
a 2 16 98
a 77 5 99
a 83 57 94
a 51 1 95
a 41 98 94
a 22 7 95
a 38 13 92
a 14 2 95
a 1 2 96
a 58 7 97
a 13 23 94
a 67 4 98
a 26 38 93
a 54 73 93
a 42 80 97
a 83 76 94
a 54 1 91
a 7 60 92
a 29 79 97
a 41 26 94
a 70 57 93
a 36 11 91
a 32 85 95
a 1 51 93
a 7 10 94
a 47 39 99
a 30 86 97
a 26 29 96
a 2 52 93
a 35 26 96
a 39 2 98
a 32 35 95
a 51 69 98
a 89 13 90
a 55 52 92
a 1 51 98
a 67 64 94
a 27 39 90
a 7 27 96
a 55 76 95
a 89 66 92
a 92 66 92
a 72 22 95
a 26 13 91
a 29 36 92
a 79 60 90
a 10 45 92
a 26 4 92
a 55 7 90
a 51 63 93
a 19 44 90
a 36 32 95
a 17 63 91
a 76 85 95
a 94 38 96
a 14 33 95
a 2 14 99
a 66 7 99
a 1 10 90
a 2 77 94
a 7 11 91
a 63 38 94
a 51 7 90
a 26 85 93
a 13 1 92
a 69 70 97
a 2 8 96
a 91 97 91
a 19 7 92
a 67 57 92
a 41 29 90
a 2 52 98
a 2 8 93
a 5 14 90
a 2 8 90
a 2 1 97
a 2 1 94
a 29 10 96
a 19 69 95
a 1 76 92
a 41 44 99
a 72 42 94
a 89 16 99
a 58 27 94
a 57 63 91
a 44 47 92
a 27 16 93
a 23 29 91
a 97 94 90
a 38 76 91
a 70 69 93
a 52 1 98
a 14 16 96
a 76 69 94
a 88 16 98
a 73 86 92
a 57 82 95
a 91 92 91
a 82 39 90
a 70 67 95
a 5 4 99
a 64 98 97
a 55 7 91
a 57 38 91
a 23 61 92
a 36 33 97
a 54 57 99
a 13 32 93
a 13 38 97
a 26 76 96
a 1 26 98
a 86 98 97
a 1 2 91
a 69 79 98
a 4 54 99
a 27 14 97
a 4 35 98
a 2 11 94
a 26 1 94
a 64 58 95
a 1 26 94
a 44 57 93
a 95 44 96
a 72 48 91
a 67 80 93
a 85 32 91
a 17 26 98
a 38 47 94
a 19 8 91
a 80 85 99
a 7 20 91
a 26 17 95
a 64 73 93
a 38 2 97
a 1 32 98
a 7 44 94
a 82 94 94
a 80 8 98
a 14 2 96
a 8 2 96
a 55 67 93
a 77 55 98
a 85 97 93
a 97 41 95
a 16 19 95
a 51 57 95
a 2 30 98
a 38 13 91
a 44 30 96
a 27 1 94
a 26 13 98
a 10 4 97
a 8 2 92
a 16 23 93
a 32 13 90
a 17 11 90
a 47 11 90
a 38 2 96
a 30 41 91
a 38 76 97
a 8 4 98
a 2 5 97
a 20 85 91
a 48 30 95
a 4 1 92
a 82 94 98
a 58 13 99
a 35 4 96
a 4 51 92
a 38 89 99
a 26 55 99
a 38 76 90
a 54 1 96
a 1 14 90
a 4 1 93
a 26 76 99
a 30 13 99
a 42 30 90
a 55 5 90
a 35 7 90
a 4 29 96
a 88 17 92
a 22 23 90
a 23 72 95
a 7 51 97
a 72 1 98
a 7 13 94
a 95 20 94
a 89 79 98
a 2 4 96
a 38 57 90
a 14 79 97
a 54 60 90
a 85 72 99
a 23 72 98
a 33 30 92
a 2 5 98
a 52 60 96
a 7 51 91
a 1 2 92
a 26 2 97
a 27 83 99
a 5 57 90
a 63 1 96
a 11 23 95
a 54 16 97
a 80 30 98
a 26 44 90
a 97 91 96
a 58 61 93
a 5 19 94
a 52 7 92
a 76 94 90
a 55 58 98
a 89 26 94
a 19 20 98
a 69 48 92
a 64 63 94
a 16 91 93
a 1 39 93
a 39 26 93
a 69 51 97
a 82 44 98
a 10 42 91
a 2 54 95
a 58 8 95
a 32 19 91
a 29 76 96
a 54 94 90
a 26 41 99
a 52 57 95
a 79 80 93
a 1 22 94
a 52 23 97
a 63 7 92
a 51 13 92
a 76 4 92
a 14 39 96
a 39 14 90
a 60 1 95
a 82 33 98
a 91 27 91
a 63 1 91
a 4 16 91
a 7 51 94
a 2 4 95
a 58 63 95
a 77 83 95
a 91 14 97
a 95 83 96
a 7 57 95
a 22 58 92
a 2 5 94
a 67 48 95
a 29 85 95
a 80 89 97
a 80 5 93
a 83 52 97
a 42 29 93
a 7 69 98
a 4 44 96
a 32 35 94
a 64 89 90
a 26 1 94
a 66 63 94
a 76 57 90
a 58 54 91
a 51 36 97
a 64 5 90
a 7 4 95
a 20 19 94
a 39 42 98
a 16 23 97
a 30 26 97
a 29 26 97
a 57 7 98
a 79 91 94
a 98 67 95
a 13 52 92
a 76 52 96
a 4 17 93
a 76 54 96
a 29 35 97
a 19 17 95
a 2 58 98
a 73 11 93
a 47 88 96
a 17 89 97
a 22 32 97
a 5 60 94
a 14 16 92
a 30 35 91
a 23 47 99
a 5 2 92
a 54 85 93
a 63 16 98
a 11 5 94
a 52 70 95
a 51 60 96
a 1 33 91
a 64 63 97
a 69 72 92
a 2 19 96
a 47 45 97
a 22 35 94
a 63 69 90
a 29 1 93
a 82 83 95
a 44 69 91
a 67 76 92
a 16 72 96
a 63 22 90
a 10 38 91
a 66 16 90
a 27 14 98
a 51 60 93
a 4 26 91
a 52 1 93
a 52 55 97
a 77 51 99
a 48 17 94
a 5 30 91
a 36 55 95
a 51 2 98
a 79 88 99
a 16 41 98
a 14 1 94
a 45 14 97
a 88 80 99
a 35 60 99
a 17 42 95
a 26 2 99
a 7 8 91
a 8 36 97
a 89 76 90
a 48 29 97
a 32 30 94
a 32 1 91
a 77 52 90
a 76 86 91
a 52 1 91
a 79 13 94
a 51 39 92
a 76 77 95
a 63 73 91
a 54 67 93
a 52 2 98
a 58 33 92
a 7 5 98
a 17 67 90
a 38 94 95
a 20 23 96
a 2 58 91
a 4 10 97
a 97 26 90
a 7 1 90
a 35 66 94
a 44 1 90
a 13 1 99
a 51 1 98
a 10 14 91
a 76 8 99
a 70 73 95
a 94 98 93
a 14 2 91
a 57 2 91
a 10 38 90
a 51 1 95
a 16 36 92
a 85 29 98
a 66 26 98
a 32 2 93
a 92 67 91
a 55 83 97
a 82 32 99
a 7 13 90
a 70 88 99
a 60 16 93
a 97 11 93
a 1 17 92
a 4 63 93
a 69 98 99
a 32 7 96
a 4 66 93
a 76 44 99
a 61 30 90
a 61 54 94
a 1 45 94
a 20 19 92
a 67 66 99
a 13 41 92
a 76 51 92
a 2 63 97
a 26 76 98
a 33 76 98
a 32 2 91
a 76 79 98
a 77 27 94
a 7 10 96
a 1 39 98
a 32 36 98
a 76 26 99
a 54 86 98
a 26 13 96
a 38 14 91
a 97 13 92
a 92 89 98
a 54 7 98
a 57 69 92
a 7 52 94
a 4 35 97
a 38 66 98
a 38 1 99
a 16 5 98
a 1 4 92
a 8 33 97
a 64 80 94
a 22 85 91
a 4 13 94
a 5 80 94
a 94 19 90
a 2 5 93
a 13 38 94
a 33 5 90
a 13 1 92
a 19 48 92
a 27 26 95
a 58 7 90
a 23 7 97
a 69 63 92
a 67 66 91
a 64 41 95
a 47 2 99
a 22 48 92
a 35 1 90
a 54 60 94
a 67 61 95
a 8 26 95
a 94 82 99
a 4 1 95
a 51 54 91
a 79 51 99
a 60 79 97
a 76 51 96
a 97 60 92
a 52 63 95
a 2 20 93
a 63 51 97
a 60 58 90
a 27 4 99
a 13 19 98
a 27 32 98
a 89 64 98
a 30 80 90
a 10 51 95
a 27 2 92
a 29 26 93
a 13 10 92
a 26 30 90
a 1 22 94
a 5 35 98
a 26 32 91
a 13 23 94
a 7 44 95
a 70 61 90
a 19 30 99
a 58 80 97
a 7 57 90
a 79 77 97
a 51 63 93
a 39 14 97
a 85 35 99
a 57 70 96
a 14 88 99
a 14 45 93
a 72 57 99
a 27 33 93
a 79 41 98
a 17 72 98
a 51 1 95
a 8 14 93
a 13 1 95
a 51 14 96
a 38 20 92
a 85 72 99
a 54 55 96
a 5 82 90
a 66 16 97
a 76 13 91
a 32 7 90
a 45 69 91
a 57 52 93
a 13 17 90
a 22 98 98
a 13 48 99
a 32 35 91
a 22 66 99
a 82 89 92
a 69 13 90
a 13 63 94
a 54 1 94
a 76 83 97
a 16 54 93
a 35 60 98
a 51 70 98
a 1 2 96
a 76 26 92
a 57 7 98
a 60 17 95
a 64 63 91
a 13 51 98
a 76 29 97
a 82 19 98
a 20 57 98
a 29 35 95
a 79 64 98
a 64 20 97
a 2 13 91
a 22 23 92
a 80 55 91
a 83 73 95
a 52 2 97
a 8 57 95
a 54 60 93
a 19 7 94
a 16 2 92
a 51 57 96
a 26 22 99
a 8 55 92
a 44 26 90
a 58 69 98
a 1 29 97
a 92 5 94
a 26 58 91
a 1 76 94
a 63 69 98
a 26 27 92
a 1 4 91
a 77 82 96
a 94 58 95
a 32 55 90
a 8 33 96
a 92 64 94
a 38 39 96
a 14 20 94
a 69 51 96
a 1 47 93
a 39 8 92
a 13 19 90
a 58 8 97
a 26 76 92
a 61 2 95
a 64 26 96
a 91 66 97
a 80 35 91
a 4 1 90
a 66 55 96
a 4 39 94
a 33 1 90
a 11 10 99
a 85 22 97
a 26 47 93
a 39 14 92
a 13 1 92
a 52 54 92
a 14 67 93
a 1 10 92
a 51 54 92
a 32 19 93
a 1 30 96
a 69 63 93
a 52 1 90
a 1 26 94
a 64 66 92
a 57 8 90
a 44 63 93
a 88 13 96
a 8 33 92
a 19 7 99
a 63 51 91
a 88 51 93
a 86 48 93
a 8 19 90
a 70 73 92
a 1 2 90
a 41 29 95
a 83 85 93
a 30 64 99
a 26 41 93
a 1 26 96
a 76 79 97
a 16 13 92
a 29 79 98
a 14 41 98
a 38 4 92
a 66 51 92
a 57 8 98
a 13 10 95
a 82 10 91
a 1 27 99
a 1 26 91
a 61 2 94
a 38 13 97
a 4 54 95
a 1 60 93
a 10 7 97
a 44 1 95
a 13 51 93
a 57 51 92
a 83 5 95
a 22 10 90
a 33 32 97
a 85 92 91
a 1 51 94
a 7 22 97
a 52 54 99
a 79 70 99
a 1 51 91
a 52 16 94
a 55 16 90
a 26 30 91
a 13 51 90
a 52 55 90
a 32 7 96
a 73 94 95
a 83 94 91
a 79 54 97
a 57 82 95
a 29 35 96
a 13 38 95
a 69 32 92
a 5 8 93
a 5 55 99
a 51 27 93
a 27 82 98
a 76 77 99
a 60 58 99
a 14 48 91
a 39 27 96
a 32 7 99
a 42 41 99
a 41 14 90
a 14 54 97
a 33 45 92
a 4 1 91
a 27 45 92
a 63 57 97
a 33 76 98
a 10 61 98
a 35 22 92
a 94 7 93
a 1 4 92
a 4 39 96
a 61 55 93
a 19 58 94
a 77 61 91
a 16 63 92
a 27 76 92
a 60 54 93
a 2 61 95
a 63 76 90
a 57 19 95
a 23 20 98
a 94 69 98
a 1 57 99
a 51 69 96
a 72 85 93
a 27 1 96
a 1 79 98
a 14 64 96
a 77 94 98
a 16 60 93
a 70 45 91
a 30 7 97
a 45 27 96
a 63 60 98
a 51 7 94
a 52 61 90
a 16 22 99
a 11 52 98
a 27 26 98
a 79 60 98
a 76 85 95
a 2 51 97
a 5 11 93
a 1 51 99
a 92 58 95
a 77 54 91
a 82 80 93
a 8 10 93
a 16 66 93
a 79 1 98
a 95 57 94
a 80 5 95
a 44 45 90
a 8 58 98
a 83 58 99
a 76 2 92
a 72 23 97
a 30 38 96
a 76 8 96
a 77 5 91
a 2 5 95
a 94 45 94
a 89 44 94
a 64 17 99
a 23 14 98
a 26 5 90
a 22 29 96
a 76 88 94
a 51 80 98
a 76 51 96
a 14 13 91
a 14 16 96
a 7 27 92
a 82 10 99
a 73 66 99
a 38 4 98
a 13 66 92
a 4 35 99
a 33 44 93
a 94 29 92
a 47 35 91
a 47 35 97
a 26 52 91
a 5 4 97
a 38 5 94
a 44 26 93
a 77 83 98
a 8 38 92
a 89 83 91
a 23 45 95
a 1 7 94
a 19 58 90
a 42 30 92
a 79 60 92
a 2 23 99
a 97 91 96
a 8 20 92
a 7 8 94
a 7 54 90
a 2 17 90
a 60 52 90
a 17 23 96
a 69 58 98
a 26 76 98
a 30 26 90
a 23 72 97
a 1 11 93
a 17 4 91
a 69 88 94
a 4 86 90
a 88 76 91
a 36 61 91
a 11 5 92
a 22 4 99
a 66 98 95
a 13 4 93
a 52 27 96
a 79 63 91
a 17 30 99
a 5 54 94
a 5 14 92
a 27 1 99
a 36 86 95
a 16 13 91
a 32 57 90
a 54 10 99
a 19 7 97
a 54 52 91
a 1 10 94
a 13 2 98
a 41 29 96
a 13 63 98
a 51 76 90
a 67 86 94
a 10 42 95
a 16 52 98
a 82 57 94
a 57 54 96
a 10 33 94
a 16 42 92
a 95 60 90
a 7 4 99
a 58 10 95
a 14 55 96
a 76 57 93
a 8 1 97
a 77 39 97
a 45 7 92
a 1 52 97
a 82 88 90
a 38 27 93
a 69 22 90
a 26 1 91
a 72 23 91
